country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,total_consumption
Andorra,245,138,312,12.4,695
Czech Republic,361,170,134,11.8,665
Grenada,199,438,28,11.9,665
France,127,151,370,11.8,648
Russian Federation,247,326,73,11.5,646
Lithuania,343,244,56,12.9,643
Luxembourg,236,133,271,11.4,640
Germany,346,117,175,11.3,638
Hungary,234,215,185,11.3,634
Poland,343,215,56,10.9,614
Slovakia,196,293,116,11.4,605
Portugal,194,67,339,11,600
Slovenia,270,51,276,10.6,597
Ireland,313,118,165,11.4,596
Belgium,295,84,212,10.5,591
Romania,297,122,167,10.4,586
Denmark,224,81,278,10.4,583
Bulgaria,231,252,94,10.3,577
Croatia,230,87,254,10.2,571
Switzerland,185,100,280,10.2,565
Latvia,281,216,62,10.5,559
Belarus,142,373,42,14.4,557
St. Lucia,171,315,71,10.1,557
Spain,284,157,112,10,553
Australia,261,72,212,10.4,545
Austria,279,75,191,9.7,545
Serbia,283,131,127,9.6,541
United Kingdom,219,126,195,10.4,540
Netherlands,251,88,190,9.4,529
Gabon,347,98,59,8.9,504
Finland,263,133,97,10,493
USA,249,158,84,8.7,491
Ukraine,206,237,45,8.9,488
Estonia,224,194,59,9.5,477
Greece,133,112,218,8.3,463
Canada,240,122,100,8.2,462
Cyprus,192,154,113,8.2,459
New Zealand,203,79,175,9.3,457
Argentina,193,25,221,8.3,439
Venezuela,333,100,3,7.7,436
St. Kitts & Nevis,194,205,32,7.7,431
Chile,130,124,172,7.6,426
Panama,285,104,18,7.2,407
Brazil,245,145,16,7.2,406
Paraguay,213,117,74,7.3,404
Sweden,152,60,186,7.2,398
Guyana,93,302,1,7.1,396
Niue,188,200,7,7,395
Palau,306,63,23,6.9,392
Belize,263,114,8,6.8,385
Kazakhstan,124,246,12,6.8,382
South Africa,225,76,81,8.2,382
Namibia,376,3,1,6.8,380
Iceland,233,61,78,6.6,372
Uruguay,115,35,220,6.6,370
Malta,149,100,120,6.6,369
Norway,169,71,129,6.7,369
Dominica,52,286,26,6.6,364
Italy,85,42,237,6.5,364
Trinidad & Tobago,197,156,7,6.4,360
Thailand,99,258,1,6.4,358
Moldova,109,226,18,6.3,353
Barbados,143,173,36,6.3,352
St. Vincent & the Grenadines,120,221,11,6.3,352
Bahamas,122,176,51,6.3,349
Dominican Republic,193,147,9,6.2,349
Peru,163,160,21,6.1,344
Cook Islands,0,254,74,5.9,328
Haiti,1,326,1,5.9,328
Equatorial Guinea,92,0,233,5.8,325
Angola,217,57,45,5.9,319
Suriname,128,178,7,5.6,313
Mexico,238,68,5,5.5,311
Georgia,52,100,149,5.4,301
Japan,77,202,16,7,295
China,79,192,8,5,279
Albania,89,132,54,4.9,275
Antigua & Barbuda,102,128,45,4.9,275
Mongolia,77,189,8,4.9,274
Montenegro,31,114,128,4.9,273
Philippines,71,186,1,4.6,258
Bosnia-Herzegovina,76,173,8,4.6,257
Costa Rica,149,87,11,4.4,247
Botswana,173,35,35,5.4,243
Ecuador,162,74,3,4.2,239
Colombia,159,76,3,4.2,238
Cuba,93,137,5,4.2,235
Sao Tome & Principe,56,38,140,4.2,234
Seychelles,157,25,51,4.1,233
Macedonia,106,27,86,3.9,219
Bolivia,167,41,8,3.8,216
Cabo Verde,144,56,16,4,216
Armenia,21,179,11,3.8,211
